SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,46,003,South Dakota,Aurora County,1,0,2747,1448,1299,1344,1229,13,7,49,42,16,7,0,0,26,14,1370,1239,20,13,66,51,19,10,0,1,1314,1221,1227,1161,12,6,40,35,13,7,0,0,22,12,1249,1170,18,11,54,43,15,9,0,1,134,78,117,68,1,1,9,7,3,0,0,0,4,2,121,69,2,2,12,8,4,1,0,0
050,46,003,South Dakota,Aurora County,1,1,182,89,93,77,88,1,0,7,4,3,0,0,0,1,1,78,89,2,1,7,4,3,0,0,0,71,79,66,77,1,0,3,1,0,0,0,0,1,1,67,78,2,1,3,1,0,0,0,0,18,14,11,11,0,0,4,3,3,0,0,0,0,0,11,11,0,0,4,3,3,0,0,0
050,46,003,South Dakota,Aurora County,1,2,181,101,80,85,69,0,1,9,7,0,0,0,0,7,3,92,71,2,3,13,9,1,1,0,0,88,74,75,66,0,1,6,4,0,0,0,0,7,3,82,68,2,3,10,6,1,1,0,0,13,6,10,3,0,0,3,3,0,0,0,0,0,0,10,3,0,0,3,3,0,0,0,0
050,46,003,South Dakota,Aurora County,1,3,204,118,86,108,80,1,0,6,4,0,1,0,0,3,1,111,80,2,1,8,5,0,1,0,0,98,79,89,74,1,0,5,4,0,1,0,0,3,0,92,74,2,0,7,4,0,1,0,0,20,7,19,6,0,0,1,0,0,0,0,0,0,1,19,6,0,1,1,1,0,0,0,0
050,46,003,South Dakota,Aurora County,1,4,182,105,77,82,63,1,2,18,10,3,1,0,0,1,1,83,64,1,2,19,11,3,1,0,0,98,72,76,58,1,2,17,10,3,1,0,0,1,1,77,59,1,2,18,11,3,1,0,0,7,5,6,5,0,0,1,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0
050,46,003,South Dakota,Aurora County,1,5,147,71,76,60,70,3,1,2,2,3,0,0,0,3,3,63,72,3,2,4,3,4,2,0,0,67,54,56,50,3,1,2,1,3,0,0,0,3,2,59,51,3,2,4,2,4,1,0,0,4,22,4,20,0,0,0,1,0,0,0,0,0,1,4,21,0,0,0,1,0,1,0,0
050,46,003,South Dakota,Aurora County,1,6,137,66,71,60,69,2,1,0,0,1,0,0,0,3,1,63,70,3,1,2,1,1,0,0,0,61,67,56,65,1,1,0,0,1,0,0,0,3,1,59,66,2,1,2,1,1,0,0,0,5,4,4,4,1,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0
050,46,003,South Dakota,Aurora County,1,7,151,94,57,89,55,2,0,2,2,1,0,0,0,0,0,89,55,2,0,2,2,1,0,0,0,79,54,74,52,2,0,2,2,1,0,0,0,0,0,74,52,2,0,2,2,1,0,0,0,15,3,15,3,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0
050,46,003,South Dakota,Aurora County,1,8,185,101,84,97,80,2,0,0,2,1,0,0,0,1,2,98,82,2,0,0,3,2,0,0,1,82,79,79,75,2,0,0,2,1,0,0,0,0,2,79,77,2,0,0,3,1,0,0,1,19,5,18,5,0,0,0,0,0,0,0,0,1,0,19,5,0,0,0,0,1,0,0,0
050,46,003,South Dakota,Aurora County,1,9,145,72,73,67,70,0,0,1,2,0,1,0,0,4,0,71,70,1,0,5,2,0,1,0,0,55,65,53,62,0,0,1,2,0,1,0,0,1,0,54,62,0,0,2,2,0,1,0,0,17,8,14,8,0,0,0,0,0,0,0,0,3,0,17,8,1,0,3,0,0,0,0,0
050,46,003,South Dakota,Aurora County,1,10,139,70,69,66,66,1,0,2,1,1,1,0,0,0,1,66,67,1,0,2,2,1,1,0,0,69,68,65,65,1,0,2,1,1,1,0,0,0,1,65,66,1,0,2,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
050,46,003,South Dakota,Aurora County,1,11,151,81,70,79,66,0,2,0,1,0,1,0,0,2,0,81,66,1,2,1,1,0,1,0,0,75,69,73,66,0,1,0,1,0,1,0,0,2,0,75,66,1,1,1,1,0,1,0,0,6,1,6,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0
