SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,45,001,South Carolina,Abbeville County,1,0,24295,11814,12481,8441,8691,3098,3500,50,43,32,58,1,5,192,184,8616,8860,3221,3625,106,93,59,80,6,11,11589,12277,8257,8533,3075,3470,39,38,32,54,1,5,185,177,8426,8695,3194,3591,92,84,58,76,6,10,225,204,184,158,23,30,11,5,0,4,0,0,7,7,190,165,27,34,14,9,1,4,0,1
050,45,001,South Carolina,Abbeville County,1,1,1160,589,571,391,372,173,171,3,1,0,1,0,1,22,25,413,397,193,194,5,3,0,2,0,1,575,559,380,363,172,169,3,0,0,1,0,1,20,25,400,388,190,192,5,2,0,2,0,1,14,12,11,9,1,2,0,1,0,0,0,0,2,0,13,9,3,2,0,1,0,0,0,0
050,45,001,South Carolina,Abbeville County,1,2,1253,645,608,425,409,187,173,8,3,2,3,0,0,23,20,447,429,207,190,10,5,4,4,0,1,622,574,410,388,185,170,2,0,2,1,0,0,23,15,432,403,205,184,4,0,4,2,0,0,23,34,15,21,2,3,6,3,0,2,0,0,0,5,15,26,2,6,6,5,0,2,0,1
050,45,001,South Carolina,Abbeville County,1,3,1526,808,718,543,487,228,191,4,2,4,0,0,2,29,36,571,521,252,224,8,3,6,4,0,2,792,706,529,476,227,190,3,2,4,0,0,2,29,36,557,510,251,223,7,3,6,4,0,2,16,12,14,11,1,1,1,0,0,0,0,0,0,0,14,11,1,1,1,0,0,0,0,0
050,45,001,South Carolina,Abbeville County,1,4,1591,791,800,580,563,184,210,3,2,9,6,0,1,15,18,595,579,194,225,7,4,10,9,0,2,772,778,566,545,181,207,3,2,9,6,0,1,13,17,579,560,191,221,6,3,9,9,0,2,19,22,14,18,3,3,0,0,0,0,0,0,2,1,16,19,3,4,1,1,1,0,0,0
050,45,001,South Carolina,Abbeville County,1,5,1523,763,760,526,547,213,197,1,1,2,2,0,0,21,13,545,558,228,206,5,2,5,5,2,2,741,740,510,532,207,192,1,1,2,2,0,0,21,13,529,543,222,201,5,2,5,5,2,2,22,20,16,15,6,5,0,0,0,0,0,0,0,0,16,15,6,5,0,0,0,0,0,0
050,45,001,South Carolina,Abbeville County,1,6,1358,683,675,460,455,204,203,5,2,1,4,0,0,13,11,469,465,211,208,9,5,6,7,1,1,660,658,442,443,201,200,3,2,1,3,0,0,13,10,451,452,208,205,7,4,6,6,1,1,23,17,18,12,3,3,2,0,0,1,0,0,0,1,18,13,3,3,2,1,0,1,0,0
050,45,001,South Carolina,Abbeville County,1,7,1232,603,629,431,433,161,184,2,4,0,1,0,0,9,7,439,438,166,188,4,9,3,1,1,0,588,624,418,429,159,183,2,4,0,1,0,0,9,7,426,434,164,187,4,9,3,1,1,0,15,5,13,4,2,1,0,0,0,0,0,0,0,0,13,4,2,1,0,0,0,0,0,0
050,45,001,South Carolina,Abbeville County,1,8,1273,617,656,427,454,178,189,2,3,3,6,0,0,7,4,432,458,182,192,5,5,5,6,0,0,604,639,416,438,177,188,2,3,3,6,0,0,6,4,420,442,180,191,5,5,5,6,0,0,13,17,11,16,1,1,0,0,0,0,0,0,1,0,12,16,2,1,0,0,0,0,0,0
050,45,001,South Carolina,Abbeville County,1,9,1298,628,670,442,474,177,188,1,0,2,1,0,1,6,6,448,480,180,190,3,3,3,2,0,1,608,663,424,468,176,187,1,0,2,1,0,1,5,6,429,474,179,189,2,3,3,2,0,1,20,7,18,6,1,1,0,0,0,0,0,0,1,0,19,6,1,1,1,0,0,0,0,0
