"fact_id","weather_key","county_key","air_key","ypll","fair_poor_health","physically_unhealthy","mentally_unhealthy","smokers","obese","drinking","unemployed","uninsured"
1,244,5840,15,8221.7,13.38,3.57,4.06,23.09,24.5,17.85,4.1,20.9
2,245,36813,16,8321.8,12.8,3.4,4.1,21.9,26.2,19.4,8.8,20.9
3,246,36814,17,8091.8,12.5,3.4,4.2,22.7,25.5,19.7,8.9,16.4
4,247,36815,18,7770.2,12.5,3.3,3.8,22.6,25.5,18.7,8.1,19.1
5,248,36816,19,7770.2,12.7,3.3,3.8,20.6,26.6,17.9,6.77,16.58
6,249,36817,20,7456.9,12.7,3.3,3.8,20.6,25.0,17.9,5.84,15.79
7,250,36818,21,7454.6,16.0,4.1,4.2,18.6,26.7,15.1,6.05,17.48
8,251,36819,22,7393.9,16.36,3.74,3.97,17.94,27.4,15.38,5.49,16.13
9,252,36820,23,7467.6,18.06,4.1,4.25,16.8,29.3,16.71,5.42,11.52
10,253,36821,24,7224.6,18.06,4.1,4.25,16.8,31.0,16.71,3.99,10.7
11,254,36822,25,7354.1,17.51,4.22,4.3,17.49,31.0,17.96,3.62,11.33
12,255,68604,26,7680.5,16.46,3.65,4.77,18.51,30.0,18.74,2.73,13.17
13,1780,5972,56,10353.6,26.48,4.84,3.96,23.54,31.6,6.02,7.1,18.2
14,1781,36933,57,9201,20.9,4.7,4.6,24.0,32.2,7.6,15.3,18.6
15,1782,36934,58,10287.3,21.2,4.4,4.7,20.5,34.3,7.2,13.9,18.0
16,1783,36935,59,9914.9,23.9,5.0,4.6,21.3,34.3,6.1,11.8,18.8
17,1784,36936,60,9914.9,28.6,6.0,5.3,26.2,35.3,NULL,9.32,19.17
18,1785,36937,61,8958.6,28.6,6.0,5.3,26.2,37.4,NULL,8.18,18.82
19,1786,36938,62,8483.6,23.1,5.0,4.8,20.4,37.7,12.3,7.22,19.24
20,1787,36939,63,9389.8,21.09,4.59,4.61,19.14,37.3,12.86,6.15,17.78
21,1788,36940,64,10235.9,20.59,4.47,4.59,19.14,38.1,14.82,6.15,14.37
22,1789,36941,65,9666,20.59,4.47,4.59,19.14,37.7,14.82,4.37,13.44
23,1790,36942,66,10461.8,23.8,4.96,4.98,19.62,40.6,13.29,3.91,13.88
24,1791,68616,67,10819.9,25.2,5.14,5.65,25.23,37.3,15.56,3.0,15.94
25,2164,6005,102,10145,20.09,4.48,4.7,29.54,35.7,8.58,5.8,14.9
26,2165,36963,103,10659.6,22.8,4.6,4.8,29.5,34.7,8.4,10.6,16.4
27,2166,36964,104,10432.4,23.6,4.7,4.4,27.9,33.1,8.4,9.7,16.1
28,2167,36965,105,10591.1,24.2,4.7,4.5,30.2,33.1,9.5,9.0,14.7
